URL;Traffic (%);Number of Keywords;Traffic;Adwords Positions;Positions with commercial intents in top 20;Positions with informational intents in top 20;Positions with navigational intents in top 20;Positions with transactional intents in top 20;Positions with unknown intents in top 20;Traffic with commercial intents in top 20;Traffic with informational intents in top 20;Traffic with navigational intents in top 20;Traffic with transactional intents in top 20;Traffic with unknown intents in top 20;Traffic Change
https://techterms.com/definition/router;7.87;44;1376;0;1;1;0;0;0;1376;0;0;0;0;0
https://techterms.com/definition/repository;6.15;15;1076;0;1;3;0;0;0;474;1076;0;0;0;0
https://techterms.com/;5.63;221;984;0;28;100;2;1;3;129;593;385;7;6;-3
https://techterms.com/definition/template;5.59;74;978;0;0;46;0;0;0;0;967;0;0;0;63
https://techterms.com/definition/application;4.82;133;843;0;0;46;0;0;0;0;832;0;0;0;-12
https://techterms.com/definition/hardware;3.41;116;596;0;0;22;1;0;0;0;596;0;0;0;-121
https://techterms.com/definition/truncate;3.29;54;575;0;0;9;0;0;0;0;574;0;0;0;6
https://techterms.com/definition/anti-aliasing;3.24;38;567;0;0;11;0;0;0;0;567;0;0;0;560
https://techterms.com/definition/adf;2.97;50;520;0;0;12;1;1;0;0;520;0;0;0;0
https://techterms.com/definition/schema;1.57;16;275;0;0;4;0;0;0;0;275;0;0;0;0
https://techterms.com/definition/hexadecimal;1.53;145;269;0;0;57;0;0;0;0;267;0;0;0;34
https://techterms.com/definition/sodimm;1.51;76;264;0;14;20;0;0;0;186;248;0;0;0;0
https://techterms.com/definition/ddr4;1.4;50;246;0;4;16;0;3;0;5;241;0;227;0;-1
https://techterms.com/definition/usb;1.21;60;213;0;0;4;0;0;0;0;213;0;0;0;187
https://techterms.com/definition/atx;1.17;62;205;0;5;19;0;0;0;102;102;0;0;0;-269
https://techterms.com/definition/icon;1.08;103;189;0;1;40;0;0;2;0;186;0;0;3;-7
https://techterms.com/definition/app;0.94;31;165;0;0;9;0;0;0;0;165;0;0;0;-233
https://techterms.com/definition/realtime;0.93;18;163;0;1;3;0;0;0;0;163;0;0;0;-54
https://techterms.com/definition/serialport;0.89;40;157;0;0;1;0;0;0;0;157;0;0;0;0
https://techterms.com/definition/jsp;0.88;25;154;0;0;7;0;0;1;0;38;0;0;115;1
https://techterms.com/definition/bing;0.87;56;153;0;0;19;1;0;0;0;153;0;0;0;0
https://techterms.com/definition/domain;0.86;117;152;0;0;32;0;0;0;0;151;0;0;0;2
https://techterms.com/definition/keystroke;0.84;46;148;0;0;23;0;0;0;0;148;0;0;0;-1
https://techterms.com/definition/user_id;0.82;87;145;0;0;48;1;1;2;0;144;0;2;1;1
https://techterms.com/definition/computer;0.8;125;140;0;0;14;0;1;0;0;140;0;4;0;0
https://techterms.com/definition/user_account;0.75;14;132;0;0;1;0;0;0;0;132;0;0;0;0
https://techterms.com/definition/character;0.68;87;119;0;2;26;0;0;0;10;119;0;0;0;-328
https://techterms.com/definition/serial_number;0.62;53;110;0;1;16;0;0;0;3;110;0;0;0;4
https://techterms.com/definition/offline;0.61;52;107;0;1;20;1;1;0;0;101;0;0;0;-632
https://techterms.com/definition/data;0.61;83;107;0;1;28;0;0;3;3;97;0;0;6;-415
https://techterms.com/definition/pdf;0.6;54;106;0;0;7;0;0;0;0;106;0;0;0;69
https://techterms.com/definition/right-click;0.59;80;104;0;0;22;0;0;0;0;104;0;0;0;-1
https://techterms.com/definition/case-insensitive;0.56;42;98;0;0;8;0;0;0;0;98;0;0;0;0
https://techterms.com/definition/parse;0.55;94;97;0;0;13;0;0;0;0;89;0;0;0;-236
https://techterms.com/definition/online;0.52;110;92;0;0;93;0;0;0;0;91;0;0;0;-5
https://techterms.com/definition/username;0.51;110;90;0;0;56;0;0;0;0;90;0;0;0;-33
https://techterms.com/definition/passcode;0.5;39;88;0;0;17;0;2;0;0;88;0;1;0;0
https://techterms.com/list/y;0.48;22;85;0;1;1;0;0;0;85;85;0;0;0;0
https://techterms.com/definition/rgb;0.47;38;83;0;0;2;0;0;0;0;83;0;0;0;83
https://techterms.com/definition/hsl;0.46;28;82;0;1;4;0;2;0;76;6;0;5;0;48
https://techterms.com/definition/toslink;0.46;14;81;0;4;6;1;5;0;4;78;0;77;0;81
https://techterms.com/definition/nand;0.46;29;81;0;0;8;1;1;1;0;43;0;0;38;0
https://techterms.com/definition/gigahertz;0.45;112;80;0;1;51;0;0;0;0;78;0;0;0;19
https://techterms.com/definition/rte;0.44;18;78;0;0;10;2;0;0;0;78;33;0;0;0
https://techterms.com/definition/flaming;0.44;35;77;0;0;26;0;0;0;0;77;0;0;0;15
https://techterms.com/definition/mvc;0.43;25;76;0;0;2;0;0;0;0;76;0;0;0;0
https://techterms.com/definition/analog;0.42;63;75;0;0;9;2;0;0;0;65;10;0;0;-65
https://techterms.com/definition/cd;0.42;55;75;0;2;6;0;0;0;0;75;0;0;0;-8
https://techterms.com/definition/hertz;0.41;142;73;0;0;17;0;0;0;0;71;0;0;0;1
https://techterms.com/definition/standby;0.41;40;73;0;0;16;0;0;0;0;73;0;0;0;-407
https://techterms.com/definition/dram;0.41;57;73;0;0;7;0;0;0;0;70;0;0;0;45
https://techterms.com/definition/ccd;0.4;40;70;0;0;2;0;0;0;0;70;0;0;0;40
https://techterms.com/definition/torrent;0.39;183;69;0;0;3;0;0;0;0;67;0;0;0;-10
https://techterms.com/definition/hdtv;0.38;59;67;0;1;3;0;0;0;5;67;0;0;0;62
https://techterms.com/definition/plugin;0.37;54;66;0;1;19;0;0;0;12;51;0;0;0;-13
https://techterms.com/definition/filter;0.37;28;65;0;0;2;0;0;0;0;65;0;0;0;-1
https://techterms.com/definition/file_type;0.36;32;64;0;0;14;1;0;0;0;64;0;0;0;0
https://techterms.com/definition/hardcopy;0.34;39;60;0;3;18;0;0;0;21;48;0;0;0;-162
https://techterms.com/definition/bmp;0.33;89;59;0;1;21;0;0;0;1;59;0;0;0;3
https://techterms.com/definition/sdram;0.31;27;55;0;2;12;0;1;0;0;55;0;25;0;-45
https://techterms.com/definition/expansion_card;0.31;42;55;0;11;13;0;0;0;54;54;0;0;0;1
https://techterms.com/definition/meme;0.31;62;55;0;0;22;0;0;0;0;52;0;0;0;14
https://techterms.com/definition/cdr;0.3;59;54;0;6;17;1;3;0;19;37;0;27;0;-2
https://techterms.com/definition/yahoo;0.29;67;52;0;0;13;4;3;0;0;48;2;6;0;1
https://techterms.com/definition/qwerty;0.29;51;51;0;0;11;0;2;0;0;49;0;6;0;6
https://techterms.com/definition/deprecated;0.29;86;51;0;2;14;0;0;0;7;11;0;0;0;19
https://techterms.com/definition/tablet;0.27;124;48;0;5;28;0;0;0;7;39;0;0;0;1
https://techterms.com/definition/password;0.26;36;46;0;0;18;2;4;0;0;41;3;5;0;0
https://techterms.com/definition/ict;0.25;68;45;0;0;1;0;0;0;0;45;0;0;0;0
https://techterms.com/definition/inputdevice;0.25;58;45;0;0;4;0;0;0;0;45;0;0;0;0
https://techterms.com/definition/cyberspace;0.25;21;44;0;0;4;0;0;0;0;42;0;0;0;-158
https://techterms.com/definition/lcd;0.24;151;42;0;0;11;0;0;0;0;39;0;0;0;2
https://techterms.com/definition/archive;0.24;71;42;0;0;11;1;0;0;0;34;7;0;0;-7
https://techterms.com/definition/fios;0.23;61;41;0;0;12;2;6;0;0;11;3;38;0;-2
https://techterms.com/definition/crt;0.22;101;40;0;11;16;0;2;0;27;26;0;0;0;0
https://techterms.com/definition/node;0.22;78;40;0;0;7;0;0;0;0;40;0;0;0;0
https://techterms.com/definition/unc;0.22;34;40;0;0;12;0;0;0;0;37;0;0;0;3
https://techterms.com/definition/dfs;0.22;19;39;0;0;13;0;1;0;0;39;0;0;0;0
https://techterms.com/definition/hsb;0.22;17;39;0;3;8;0;0;0;4;39;0;0;0;3
https://techterms.com/definition/frequency;0.21;26;37;0;0;3;0;0;0;0;37;0;0;0;0
https://techterms.com/definition/handle;0.2;53;36;0;2;10;0;1;0;19;30;0;3;0;-1
https://techterms.com/definition/cache;0.2;66;36;0;0;2;0;0;0;0;36;0;0;0;-3
https://techterms.com/definition/eup;0.2;5;35;0;0;5;0;1;0;0;35;0;28;0;-4
